player,first,last,name,position1
NV-0050,De'Anthony,Thomas,De'Anthony Thomas,WR
OZ-0100,Demaryius,Thomas,Demaryius Thomas,WR
TA-1050,Michael,Thomas,Michael Thomas,WR
TT-0150,Mike,Thomas,Mike Thomas,WR
SS-0650,Laquon,Treadwell,Laquon Treadwell,WR
SC-0175,Malik,Turner,Malik Turner,WR
RS-0975,John,Ursua,John Ursua,WR
TH-1875,Marquez,Valdes-Scantling,Marquez Valdes-Scantling,WR
TG-0025,Michael,Walker,Michael Walker,WR
RC-1500,Greg,Ward Jr.,Greg Ward Jr.,WR
RD-0450,James,Washington,James Washington,WR
TJ-2275,Sammy,Watkins,Sammy Watkins,WR
RA-1337,Justin,Watson,Justin Watson,WR
TB-2093,Nsimba,Webster,Nsimba Webster,WR
OH-0250,Dede,Westbrook,Dede Westbrook,WR
NH-1237,DeAndrew,White,DeAndrew White,WR
MS-2100,Chad,Williams,Chad Williams,WR
MS-0150,D'haquille,Williams,D'haquille Williams,WR
TG-0900,Mike,Williams,Mike Williams,WR
TM-2362,Preston,Williams,Preston Williams,WR
XG-0100,Tyrell,Williams,Tyrell Williams,WR
NB-0125,Damion,Willis,Damion Willis,WR
LF-0025,Albert,Wilson,Albert Wilson,WR
ML-2500,Bobo,Wilson,Bobo Wilson,WR
MR-2500,Cedrick,Wilson,Cedrick Wilson,WR
RN-1250,Javon,Wims,Javon Wims,WR
SD-0175,Juwann,Winfree,Juwann Winfree,WR
TB-3950,Robert,Woods,Robert Woods,WR
RG-1850,Jarius,Wright,Jarius Wright,WR
TB-2300,Olamide,Zaccheaus,Olamide Zaccheaus,WR
MJ-2250,Brandon,Zylstra,Brandon Zylstra,WR
